file_path,filename,preprocessing,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,bandpass_100_2000,-48.25081336892113,-31.13966652361458,-28.296909111715845,-31.987893803986697,-36.138023472844694,-40.67659125285462,-44.65347820421556,-47.41729497542208,-49.143465907591356,-49.67599850032553,-50.91770525127228,-53.59323316328065,-55.47224963012909,-56.354039132043205,-56.869943115939414,-55.87929906430859,-53.518969329184216,-51.66473369589982,-53.174739091564064,-55.51089985258926,-56.92710356553242,-58.46813049232971,-60.01812244139571,-60.39952578212094,-62.152434828287966,-62.72747378336551,-63.083218340581865,-63.753625318510636,-63.93446061964922,-64.40446273264148,-65.97317704538901,-66.30995622349253,-66.63759443645785,-67.29049731165674,-71.1592632167031,-79.91832966857291,-79.99619881978798,-79.9975577206047,-79.9983765918084,-79.9990921784147,-79.99971981467174,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,bandpass_100_2000,-34.214162397318674,-17.69606754022106,-14.205103172986785,-16.891735860117635,-20.6465591457826,-24.57323734780656,-28.63896683667298,-31.659632145881734,-34.19011387352133,-36.179950980697186,-37.379533592213015,-38.61836233063212,-39.850073549616745,-41.26827945279891,-42.264512907831595,-42.380573661859074,-41.98758818369906,-41.37232192543209,-42.51699637133822,-43.92227983141722,-44.76739573115095,-46.92606173581201,-47.932906717798,-48.59360945848701,-50.33617228233868,-51.09248004146835,-51.6863585773093,-52.127796589096285,-52.34867500306485,-52.414058711136946,-52.8946294765477,-52.54878275319983,-53.408478742992344,-54.47239977461877,-58.51746011557674,-75.888212972737,-79.96646002199742,-79.97012396750209,-79.97294335208319,-79.97526501513431,-79.97719992419914,-79.97889471916227,-79.98042357091968,-79.98184462863018,-79.98319746467493,-79.98450064375616,-79.98576031503191,-79.98698325725876,-79.988177440991,-79.98934042889803,-79.99034464814738,-79.99106377237592,-79.99175378177664,-79.9924153546968,-79.99305090324343,-79.99365117135177,-79.9942155455251,-79.99474011784292,-79.99521916391662,-79.99564594638674,-79.99601797424093,-79.99626277260981,-79.99637319890296,-79.99644238772272
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,bandpass_100_2000,-53.42212215391437,-35.157301840496814,-30.86169691222302,-33.78298661690481,-36.94684424493386,-40.39536746994487,-43.430994692246884,-45.43933847070488,-46.907937190069845,-47.757921103469975,-49.306786237123646,-51.75168004286884,-53.13818739915698,-54.59763669243222,-55.4577764910328,-55.68299777721638,-55.60947036474942,-55.81288739274974,-56.27663637862827,-58.462385924802796,-59.54433082932217,-60.357250999556726,-61.21600598776165,-62.59577205624015,-63.54893249181419,-64.63672800964561,-65.21549150021752,-66.34782101207789,-66.9870577844348,-67.19836741336789,-67.07229050415732,-68.43380856555665,-69.57390152125991,-70.89801394042648,-74.61180667554864,-79.7698636277698,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,bandpass_100_2000,-55.63823380207418,-38.70258756147113,-35.06453537355925,-37.2635630045271,-39.93734771821514,-43.05178543647398,-46.02043933069157,-49.2288200890427,-51.16624572968077,-53.17454346323199,-54.07434285723561,-54.96937142272719,-56.311242273698205,-57.29832247484329,-57.60934845203992,-56.45149580684786,-54.64900972198747,-53.91451300982112,-53.78943567540441,-55.488240615954005,-57.46938465918389,-57.646539995493,-57.86038581194157,-58.04208951579483,-57.39051018906326,-56.42697458321161,-55.88246967184139,-55.78986259726882,-57.33050308487167,-59.289069965587984,-60.836045073128176,-62.4256384043485,-63.45143426139093,-66.2989099162034,-72.18750933415753,-79.8636623339076,-79.9770328613177,-79.97852158810076,-79.97969300313603,-79.98072655912581,-79.9816626701482,-79.98254578558905,-79.98338419844013,-79.98418515500023,-79.98495432864675,-79.98569280454029,-79.9863993874968,-79.98707554072836,-79.98772459984787,-79.98834545556537,-79.98893290857525,-79.98949688161505,-79.99002884800136,-79.99053021545534,-79.9910035319393,-79.99144363481318,-79.99185117891426,-79.99222463238304,-79.99256127886842,-79.99285774070793,-79.99311345772382,-79.99332060143317,-79.99347818930258,-79.99357690352032
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,bandpass_100_2000,-59.20144477766706,-40.71207982965858,-35.600555169363176,-37.8182949724129,-41.43200975807622,-42.83441217178685,-45.340741789004035,-50.03905611019313,-53.321014258365324,-54.21142191803817,-55.316098678415365,-56.32245166978814,-56.35211383970085,-56.34140803580097,-58.42723408380806,-58.61340292179056,-57.28757016083596,-58.13766656783939,-59.07343658818141,-61.266451414321736,-62.44739662150792,-64.43863710501417,-65.27893425378475,-65.69239539443238,-66.54871827005631,-67.22462857383549,-66.4882105741648,-67.67638175339502,-69.58130439727361,-70.43308761167437,-71.08743905176098,-71.2850835559548,-72.14420693416163,-74.0683414097563,-77.35438887178948,-79.98713818734865,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,bandpass_100_2000,-56.5763335736558,-36.884024912306096,-30.688837020599422,-30.789704321584484,-33.01932284347807,-36.78063161828744,-40.91285276522882,-44.26754016136559,-46.87327996014169,-48.9134093919777,-50.63427780957705,-52.37549703960283,-54.339712756752604,-56.2665067352551,-57.14270198014328,-57.55069917702257,-56.554858286440925,-55.98534997266277,-56.72576277742636,-58.697514814864434,-60.125864064251864,-60.4744061785692,-60.193694632342485,-60.08441515120233,-60.91750907325832,-60.27523304560234,-59.8917515463426,-59.22221976213467,-59.89688132563254,-61.949041104879164,-63.96672633773222,-65.94614092000579,-67.13369744351714,-67.47476618847323,-70.74318025006338,-79.98045325165374,-79.99927664205512,-79.9993151895735,-79.99943620868704,-79.99962188847881,-79.99983429580391,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,bandpass_100_2000,-49.02319723719252,-32.170697647910714,-29.719258796771012,-33.803490839483516,-37.24613221555971,-41.025315677750314,-44.219896095187615,-46.347480295737235,-47.86395038755928,-48.53135546385734,-49.66447538987978,-51.49945386914654,-52.714912077356196,-53.93501808283402,-54.54733768787188,-54.0879647766494,-52.83714646498972,-53.12525556033253,-53.2220079400339,-55.70708127432902,-57.64898328333116,-58.53692451622715,-59.40349365793638,-60.48596243750556,-61.17167302494712,-61.38854088472896,-63.087716002301676,-64.63038461978768,-65.548898828412,-66.55902162286326,-67.16291874120755,-67.56885733159092,-68.27957245264116,-68.90362100850174,-72.75358616986463,-79.90353298049885,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,bandpass_100_2000,-67.54284723422649,-46.373945315264734,-39.648352888031866,-40.9112130007329,-44.70795872120023,-46.112446323985566,-48.11306925751736,-50.2072062275483,-50.75480864202712,-51.61463881925616,-52.94329038508077,-53.68237849213342,-54.37168402810208,-55.19165292655441,-55.67390619519038,-55.33646690395975,-54.737386995356836,-54.614420016966214,-55.50125644406676,-55.686732297815745,-56.650696095100585,-58.04712547063825,-59.47286300485077,-59.808825855510435,-61.27239548473169,-61.185793415543564,-62.53613628176422,-63.447411379579016,-64.02993313186623,-64.93476217050673,-66.61324181806229,-68.27608793253134,-70.01037544851515,-72.06255317127953,-76.59705056053079,-79.70132426671026,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,bandpass_100_2000,-46.27162513587513,-28.31677751154738,-24.244233247005486,-25.65527069234021,-29.887520655754265,-33.97721248084647,-36.78053148434121,-38.77012748610284,-40.29862171715399,-41.05976188645343,-42.61604844984667,-43.71872465843849,-44.61911933897146,-45.64333143654799,-46.20342607012536,-46.44604637786283,-46.315669763579564,-46.774787370096995,-47.139105331471384,-47.692692524788725,-49.68693807424992,-50.985664623466334,-52.01666517560279,-53.30908793219938,-54.63941991310907,-55.269109493242986,-56.99563409169955,-58.69014948647837,-60.111702656275384,-61.33576627934313,-62.84925112109481,-64.55384020205608,-66.12380657141621,-68.141393527871,-72.8302610652853,-79.18114253306811,-79.99671761110689,-79.99815948672506,-79.9993467912931,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,bandpass_100_2000,-68.67184995135183,-53.60720008224083,-49.42714787612349,-49.65990850426641,-51.480690091612466,-54.09931447372198,-56.504604290050196,-57.36397235680083,-57.42889601275388,-57.72670480890755,-59.32419935930629,-61.062848519336264,-61.455434729396046,-61.600732798543866,-61.44945461275487,-60.34935219972176,-59.596864536045885,-59.216883886791805,-60.19594206216316,-60.7417206104415,-60.67593193841974,-61.50361132101081,-63.18113393134848,-64.1069584954301,-64.9464265152051,-65.08445820732263,-65.48803188605075,-65.6071413422522,-63.51070404543627,-65.50763437440779,-68.11078538897303,-70.03652028322323,-71.96453734922873,-73.27233632417946,-77.08409663999888,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,bandpass_100_2000,-44.69222424356243,-28.31145237803538,-25.34525224665793,-28.280961255333807,-31.591530653787732,-33.98928729233747,-36.08908594630727,-37.47704263694833,-37.52901234240058,-37.63122420511209,-39.15652917568449,-41.025754212228094,-42.083214125394214,-42.961975100569084,-43.43103784060311,-43.36692031909603,-42.367285145397,-42.831324782549785,-43.54958808656318,-45.00286596666559,-46.72821168566815,-47.99854105650514,-48.797861737952346,-49.92339431677703,-51.41514507916593,-52.40429127162779,-53.619946040658924,-54.640244227660126,-55.83125867821867,-57.35057023525739,-58.96638852518789,-60.91276184662729,-62.34255125330986,-64.28835360051859,-69.15367816136356,-79.65652062434515,-79.99662074155326,-79.9978268677032,-79.99873830249535,-79.99952582538181,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,bandpass_100_2000,-48.06100496948404,-29.733405184285797,-25.141992976881365,-27.760115902304396,-31.354770339465627,-34.080143646876735,-35.34350040587914,-36.100939888645264,-38.1439604727509,-40.064864734901384,-41.57435674571965,-42.46263339061734,-43.36340981144445,-44.489333576413706,-45.102930534548854,-45.14656474915606,-45.47384020819654,-46.20444991973875,-46.76155024632255,-47.61778917095578,-47.81574899926593,-48.20454417167025,-48.88879859564464,-50.39149012433672,-52.41122807804884,-54.11601883782518,-55.51380914725615,-56.44172823813446,-56.819448551601866,-57.515865711356305,-58.41659241078101,-59.671906254295635,-61.63804555431911,-63.50704047176933,-67.78997026872231,-79.84907738977266,-79.98665694113332,-79.9894789889963,-79.99113388743298,-79.99221886190573,-79.99324038617955,-79.99425249247946,-79.99526334397463,-79.99627746465873,-79.99704845068294,-79.99756123571483,-79.998075437812,-79.99859189593253,-79.99911268180085,-79.99963793505651,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,bandpass_100_2000,-35.85444258085051,-19.805448613875747,-16.91572517932537,-18.926790937163183,-22.953551156526025,-26.408954741845022,-27.995374928100848,-29.281029023460764,-28.00119560690726,-28.45287197777997,-30.584612149341034,-32.16113902205675,-33.7066488259033,-34.87697306107057,-34.906830956928786,-35.11302664078491,-34.708026206755385,-35.68589343358638,-35.44773185873705,-36.47381162765134,-38.41605105071131,-39.24721096419181,-40.43398892388491,-42.47070941408205,-43.9167846685913,-44.5219907303974,-45.99831083287315,-47.54493534438732,-48.76926199508581,-49.94111127527277,-51.27634396555154,-53.41033085287047,-55.47350597219903,-57.5502401227533,-62.397360770202106,-78.74603389784914,-79.96654768025824,-79.97140013933529,-79.9753919893463,-79.9789260837294,-79.98126854122035,-79.9832527062996,-79.98508469240474,-79.98678525380502,-79.98787693365347,-79.98886186911604,-79.98981825086997,-79.99074745084249,-79.99165241196084,-79.99253138787387,-79.99337871835297,-79.99420342218184,-79.99499568971726,-79.99575574226144,-79.9964843342026,-79.99698971740142,-79.99731447065561,-79.99761675204209,-79.99789348507119,-79.99814101301106,-79.99835673926626,-79.99853413023861,-79.99866973709635,-79.9987555961347
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,bandpass_100_2000,-41.89870061477294,-25.94786086015732,-23.268134127755168,-26.269145033616898,-28.866674036050185,-30.752866710469696,-32.73894867792602,-35.933966094756315,-38.45927211831831,-40.72955229832107,-43.75127976730931,-46.68099447165579,-48.64859750239899,-49.66548107661007,-50.255865675973176,-50.706017799186604,-50.770469292113496,-50.518005457999465,-50.13862918679937,-49.946594429881884,-49.49662852268919,-49.15152950499533,-49.04727816128535,-48.494518504040926,-47.985510750505746,-47.59543861909066,-48.166571869291715,-49.36471993024436,-50.59194358770395,-52.36845404363824,-55.00345025972595,-58.427855244067274,-61.1779761740928,-63.55585897562899,-68.45090229058705,-79.86756464355784,-79.97953641060225,-79.9834226635463,-79.98671325811938,-79.9897326000205,-79.99200509098975,-79.99411449203339,-79.99563155013792,-79.99681912985011,-79.9979556245343,-79.99904731460907,-79.99964703998491,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,bandpass_100_2000,-49.568295663980365,-34.26155525729336,-32.3313591190215,-35.3803239619379,-37.43848440179104,-39.5134253525121,-42.56828576816106,-45.66372004204282,-47.905382431746915,-50.67784383876554,-53.92948316945669,-56.7737137045424,-59.10900483661591,-60.83699849397799,-61.890163124534205,-62.90768262999561,-63.892082051954205,-64.49320796830129,-64.73919052819276,-65.25643153928583,-65.33755320989333,-65.37300787343493,-65.1285583317584,-64.0891730424127,-63.09039495329498,-62.500856431461685,-62.257372592877594,-63.01454859971572,-64.42451824212823,-67.12788026463166,-69.82438407841333,-72.26829667526921,-74.31367013538357,-76.08187087789624,-79.11595613380618,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,bandpass_100_2000,-51.312602948576796,-36.06070776094957,-33.386737626135535,-36.25019464470945,-37.46959429729545,-39.77856964381353,-43.23602618520014,-45.9050649399689,-47.900381746041596,-50.33501338593438,-52.512629238117945,-54.81451830185645,-56.40529498506959,-57.53755720774236,-58.0559083004576,-58.47424710960034,-59.39723162340082,-60.08589484471044,-60.67614784500089,-60.84383381877637,-61.377400097572604,-61.405303507398926,-61.279656539075106,-61.22281692047809,-61.24490815172272,-61.27160615194802,-61.560187487798636,-62.13421313534604,-62.43948371513296,-64.09331285308062,-66.14884467452325,-68.53282217644843,-71.25646111698612,-73.30056200521683,-76.89892533985855,-79.9744178473085,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,bandpass_100_2000,-64.93172620445209,-49.23223627160947,-46.502161265689224,-49.015076002388675,-52.03613703590611,-54.387318098848816,-57.01966931251939,-58.729543036083314,-59.9723060995831,-61.302899460661955,-62.05405977484748,-62.262634282587946,-63.03411057841871,-64.06489042050893,-65.12926587316836,-66.3982163307859,-68.00245388264857,-70.17646566868221,-72.2411743701042,-73.94782810084259,-75.2685789458752,-76.26035863921581,-77.10501712698294,-77.65271159748693,-77.8218551513356,-78.29673490244984,-78.73253898299458,-78.85346924938044,-78.94978291039155,-79.08255337686604,-79.19721988787084,-79.27662081650806,-79.29782839253923,-79.41608274929243,-79.58857559636448,-79.9497518131484,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,bandpass_100_2000,-49.519899665416396,-34.20239852515271,-32.85320807511854,-36.248335173651896,-40.32889364656837,-43.030080950452586,-45.191110686339314,-46.88266276186332,-48.12647619448788,-49.31152874704214,-50.88046510838266,-52.00399212657797,-53.267587783662194,-55.25108457542025,-57.440994060629315,-58.753118862026106,-59.30703842995025,-59.857318023097356,-61.21892966299065,-64.20494009722513,-66.2584692376569,-67.77519729116732,-69.08085215947564,-68.83035650785706,-69.4511263742058,-72.04989542691243,-73.42932917682593,-74.04912959529311,-74.36506773414592,-75.09247434339923,-76.02104147954276,-77.01573393440744,-77.7697316885539,-78.40325572426669,-79.37320848876628,-79.90619008083367,-79.97695984843764,-79.98104066798466,-79.98437568326507,-79.9873756247866,-79.99012175446283,-79.99230366202688,-79.99423240094822,-79.99550653599415,-79.99659658129144,-79.99763744195319,-79.99863313207241,-79.9994317618485,-79.99986697187724,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP1_60sec.wav,WEBSS-006 TP1_60sec.wav,bandpass_100_2000,-59.42445341657944,-41.985651359081174,-37.8985812917361,-39.2467205581663,-42.02891142033494,-43.776826647770385,-45.58647069554483,-48.077062830976146,-49.67425964495845,-50.14572216596115,-50.64380706133958,-52.29476342429884,-53.54957211313089,-54.524561307369694,-55.951238757030524,-57.839885518261056,-59.87991635367601,-61.69081800616775,-63.282514038627106,-64.60371227272715,-66.10065476269864,-67.18366617881233,-68.27194021449839,-69.28121013252077,-70.33283662372784,-71.120562524228,-71.98683987361235,-72.87962302163253,-73.75470279830915,-74.67087706494425,-75.81889671321724,-76.99510413777033,-77.86734804649929,-78.7558045614769,-79.81423985264894,-79.97829887883863,-79.98507452710977,-79.98779954886649,-79.98877648743768,-79.98931481549715,-79.98990123473534,-79.99052944477823,-79.99117530372614,-79.9918251308004,-79.99247154120152,-79.99310741479302,-79.99372629995493,-79.99432622766093,-79.99490830423507,-79.99546989835024,-79.99600464393667,-79.99652163494872,-79.99690174250824,-79.99713388022427,-79.99735405104471,-79.99755949855516,-79.99775039901527,-79.99792586984906,-79.99808446056349,-79.99822441348736,-79.9983454111645,-79.99844353117226,-79.99851831129908,-79.9985651691511
