file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,0.0068275593,0.013825699210421108,1.8389364e-06,181.79694511116955,0.6997156950352489,-27.047024,-29.76431,-34.588444,-39.493202,-43.726055,-48.282524,-52.233334,-54.998184,-56.726383,-57.264668,-58.51103,-61.175564,-63.0534,-63.937992,-64.45482,-63.457935,-61.10243,-59.248993,-60.760113,-63.085377,-64.500175,-66.03573,-67.58114,-67.94434,-69.66813,-70.19141,-70.51085,-71.099686,-71.13582,-71.438835,-72.707375,-72.54185,-72.25832,-71.92609,-74.690735,-79.96666,-79.99112,-79.992226,-79.99309,-79.993835,-79.99449,-79.9951,-79.995674,-79.99621,-79.99673,-79.997,-79.99724,-79.99746,-79.99767,-79.99789,-79.998085,-79.998276,-79.99846,-79.998634,-79.9988,-79.99896,-79.9991,-79.99924,-79.99936,-79.999466,-79.999565,-79.99964,-79.9997,-79.99973,-579.96124,124.19944,56.302483,23.358492,26.264393,27.514837,19.33061,16.472912,15.783182,7.0792723,-1.099368,1.4279715,6.480965
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,0.029507225,0.015196322378065032,6.956088e-07,12.064796148317587,0.6004296328207753,-15.577234,-17.215548,-21.222586,-25.060673,-28.933147,-32.930614,-37.018673,-40.051434,-42.585373,-44.564514,-45.745247,-47.008156,-48.23849,-49.644573,-50.636265,-50.73798,-50.35153,-49.733902,-50.878326,-52.271046,-53.11091,-55.2714,-56.272083,-56.922405,-58.651814,-59.39043,-59.918648,-60.283287,-60.375576,-60.25195,-60.453903,-59.624027,-59.880463,-59.95968,-63.154705,-77.647,-79.97783,-79.981094,-79.983246,-79.98471,-79.98602,-79.98722,-79.988335,-79.98916,-79.98967,-79.99016,-79.99062,-79.99107,-79.9915,-79.99192,-79.99232,-79.99271,-79.99307,-79.99342,-79.99375,-79.99407,-79.99436,-79.99463,-79.99487,-79.99509,-79.99528,-79.99544,-79.99555,-79.99563,-480.77646,186.7333,55.16397,11.315153,34.679638,32.532967,7.6857114,9.505891,21.185732,7.851248,-7.496149,1.4477192,10.628622
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,0.019558817,0.01996877706889659,9.398056e-07,94.91468534794508,-0.2986484455788866,-28.695742,-30.511806,-33.10052,-37.125084,-40.41079,-43.867474,-46.908176,-48.919224,-50.382954,-51.235825,-52.794594,-55.228622,-56.616947,-58.074627,-58.931767,-59.153236,-59.080524,-59.28971,-59.75544,-61.941307,-63.01613,-63.824368,-64.66458,-66.02684,-66.94747,-67.986046,-68.52415,-69.56366,-70.064224,-70.05522,-69.65753,-70.537865,-71.00044,-71.467766,-74.42774,-79.69778,-79.99778,-79.99833,-79.99876,-79.99913,-79.999466,-79.99978,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-456.98294,140.12952,59.037247,19.43388,22.016687,21.767353,10.561831,8.249951,11.630566,6.064225,-1.1200882,1.8732811,6.471531
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,0.013350079,0.027480395872201493,4.0248087e-06,147.45221057608018,1.5131039910073825,-34.950428,-36.363342,-40.227573,-43.52781,-46.2516,-49.376217,-52.3505,-55.55236,-57.49038,-59.492672,-60.39779,-61.295963,-62.6356,-63.61669,-63.933197,-62.784657,-60.978752,-60.247345,-60.117844,-61.81469,-63.79318,-63.9645,-64.17076,-64.347275,-63.678608,-62.6892,-62.097233,-61.92997,-63.363903,-65.12751,-66.39194,-67.51815,-67.897995,-69.912865,-74.63221,-79.92593,-79.98503,-79.98737,-79.98895,-79.990524,-79.99182,-79.99299,-79.99404,-79.995155,-79.99613,-79.99697,-79.99743,-79.99785,-79.99826,-79.99857,-79.99892,-79.99924,-79.99955,-79.9999,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-451.03848,110.44603,34.031696,9.215648,28.542173,32.88243,13.559406,4.570432,10.962782,9.894758,-0.47118536,-3.585711,1.3334459
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,0.005990125,0.02425893690031983,2.3046018e-06,19.582323991123697,0.3616711691682294,-34.166317,-35.75217,-37.37091,-40.51148,-44.184036,-45.58844,-48.094193,-52.79584,-56.080215,-56.965157,-58.070328,-59.07752,-59.09669,-59.08697,-61.173527,-61.36578,-60.032967,-60.883675,-61.81653,-64.00073,-65.17144,-67.14796,-67.988976,-68.387665,-69.21177,-69.82306,-69.02675,-70.12365,-71.89882,-72.55958,-72.912994,-72.643654,-72.91368,-73.999466,-76.72984,-79.95757,-79.99649,-79.9988,-80.0,-80.0,-79.999435,-79.9997,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-608.5185,113.50815,55.71579,21.764597,18.122433,18.556196,13.061006,10.403776,10.683664,6.416304,0.09354581,-1.2520055,0.37874442
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.02934111,0.021815188149653518,5.943753e-07,48.98797672550809,-0.11586055781385392,-34.31877,-35.93589,-36.034477,-36.874313,-39.174824,-42.960045,-47.14305,-50.508347,-53.118603,-55.17037,-56.89103,-58.636997,-60.605442,-62.536915,-63.41486,-63.815903,-62.82185,-62.252457,-62.995815,-64.96386,-66.38603,-66.72966,-66.42359,-66.30171,-67.117966,-66.45691,-66.0266,-65.26522,-65.8385,-67.711395,-69.452354,-70.97711,-71.46205,-70.81557,-73.25206,-79.982475,-79.9977,-79.99828,-79.99873,-79.999146,-79.9995,-79.99983,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-403.21976,120.010544,52.612995,23.21294,29.026838,26.38877,8.899214,1.1379681,5.5154085,4.8028398,-2.220284,-4.2931876,-1.3018999
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,0.011859314,0.0148673311733742,1.4459487e-06,131.6141743385125,-1.1359009641943774,-30.454361,-32.283653,-37.529434,-42.914562,-46.467743,-50.286846,-53.449825,-55.566803,-57.096348,-57.757175,-58.888668,-60.72568,-61.94803,-63.1625,-63.778717,-63.324436,-62.07404,-62.358616,-62.449173,-64.92908,-66.86101,-67.73268,-68.57159,-69.63974,-70.28736,-70.43899,-72.0277,-73.35675,-74.04466,-74.70897,-75.007866,-75.017975,-75.12248,-74.820366,-76.95457,-79.97949,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-514.7049,111.79716,57.84151,24.531,19.709011,21.0257,17.613077,14.4951105,12.182921,7.21837,3.0189445,3.4415843,4.7349277
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,0.11398487,0.0554935805070629,0.100182675,27.35866399536566,0.0816241570524179,-54.987816,-50.06156,-47.293682,-49.23407,-53.120293,-54.49936,-56.50812,-58.605576,-59.129616,-59.996937,-61.328667,-62.073048,-62.760277,-63.590237,-64.08544,-63.742744,-63.14136,-63.026936,-63.913567,-64.09691,-65.05483,-66.45304,-67.86753,-68.196655,-69.641525,-69.53494,-70.84986,-71.68435,-72.16301,-72.90002,-74.28191,-75.46359,-76.43711,-77.2372,-78.38545,-79.59313,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-364.55716,86.305725,35.199875,4.6786575,3.7616568,9.481469,7.5592976,3.0980618,0.98316205,-1.2259759,-3.867985,-4.0257783,-2.2504437
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,0.10425196,0.012117755946828358,2.9550515e-06,15.938120098995977,-0.011901184743158877,-24.099215,-29.533182,-33.122353,-35.599533,-39.93223,-44.0483,-46.848698,-48.85673,-50.3904,-51.146214,-52.694523,-53.800766,-54.717175,-55.74357,-56.303825,-56.53413,-56.37814,-56.838768,-57.213383,-57.761593,-59.752506,-61.066498,-62.08948,-63.361725,-64.68092,-65.285904,-66.96222,-68.58934,-69.87631,-70.89908,-72.06074,-73.18596,-73.95162,-74.80703,-76.825485,-79.357994,-79.996704,-79.99729,-79.99773,-79.9981,-79.998436,-79.99875,-79.99903,-79.999306,-79.999565,-79.99982,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-346.23798,140.72942,61.354362,15.367281,14.694848,22.38915,18.407795,12.276117,10.153199,7.185545,3.6863852,3.7894988,4.972021
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,0.012293408,0.0897261044109808,0.26535222,174.18637621852483,-2.419057450689253,-56.07017,-53.27357,-53.192467,-53.985542,-55.845837,-58.464493,-60.872917,-61.73239,-61.797775,-62.097656,-63.694088,-65.43031,-65.8212,-65.967354,-65.81635,-64.71775,-63.967316,-63.585487,-64.56243,-65.10924,-65.0413,-65.86669,-67.537,-68.456245,-69.283455,-69.40052,-69.768005,-69.83283,-67.64352,-69.541855,-71.914566,-73.53124,-74.956505,-75.58387,-78.55709,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-516.10596,81.36006,24.374168,-2.1499527,6.0651965,13.966544,7.3622117,1.2963792,2.806764,2.0244606,-3.8773048,-5.81752,-1.3194588
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,0.0073862313,0.017159598214285716,4.6149776e-07,10.8610886253268,-0.17988288354690554,-16.408447,-20.391258,-25.76806,-29.896914,-33.265244,-35.667248,-37.770164,-39.15896,-39.211212,-39.311302,-40.834255,-42.70472,-43.764416,-44.642506,-45.109875,-45.04982,-44.04515,-44.508762,-45.22838,-46.678123,-48.39921,-49.671635,-50.466785,-51.580524,-53.05228,-54.015617,-55.182896,-56.12925,-57.208447,-58.541573,-59.872383,-61.37723,-62.134445,-63.166664,-67.1257,-79.33639,-79.967636,-79.975746,-79.98399,-79.98832,-79.99058,-79.99162,-79.99217,-79.99269,-79.99317,-79.993645,-79.9941,-79.99454,-79.994965,-79.99537,-79.99576,-79.99615,-79.9965,-79.99682,-79.99699,-79.99713,-79.99728,-79.997406,-79.997536,-79.997635,-79.997734,-79.99781,-79.99787,-79.9979,-565.26135,184.38155,47.84526,-7.03314,16.158504,28.157017,10.962721,6.1012774,15.125663,10.758753,-0.08647971,2.9011455,9.761375
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.022509012,0.014088579840751599,9.912595e-07,19.582249193735812,0.33520761949281064,-19.116388,-23.569342,-26.632534,-30.229746,-33.908745,-36.67219,-37.937122,-38.692013,-40.736774,-42.664997,-44.167152,-45.052383,-45.95918,-47.084114,-47.690865,-47.741062,-48.06956,-48.79596,-49.34929,-50.206802,-50.39545,-50.782593,-51.46312,-52.968037,-54.973064,-56.645687,-57.99446,-58.845795,-59.100372,-59.602364,-60.221752,-61.042152,-62.353657,-63.26145,-66.633896,-79.66356,-79.97855,-79.98198,-79.98459,-79.98688,-79.98888,-79.99073,-79.99244,-79.99382,-79.99457,-79.99528,-79.99593,-79.99656,-79.99713,-79.9977,-79.9982,-79.99862,-79.998795,-79.99897,-79.99913,-79.99928,-79.999435,-79.999565,-79.999695,-79.9998,-79.99989,-79.99997,-80.0,-80.0,-457.40198,176.4076,48.074184,-1.8391054,19.799332,27.681536,8.974274,4.7030897,13.006289,7.170829,-2.6185825,3.208198,10.432539
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,0.015411939,0.012181003464818763,1.7007874e-06,48.526748689295225,-0.04713299134953774,-24.627298,-30.58946,-36.671894,-39.909935,-43.991917,-47.4609,-49.034557,-50.30803,-49.03314,-49.484276,-51.62099,-53.19914,-54.74825,-55.90556,-55.939095,-56.146088,-55.747833,-56.720856,-56.4816,-57.507195,-59.44174,-60.269623,-61.456833,-63.47993,-64.91113,-65.4825,-66.92357,-68.39534,-69.5023,-70.48502,-71.52567,-73.21036,-74.570694,-75.64406,-78.34119,-79.98164,-79.99475,-79.99689,-79.997314,-79.997696,-79.998024,-79.99834,-79.99863,-79.9989,-79.99915,-79.9994,-79.99963,-79.999855,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-475.1932,141.02429,57.76908,9.296111,9.989993,20.71103,17.665033,11.042525,10.063387,9.097985,5.761317,5.406574,8.034745
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,spectral_gating_-20db_4.0ratio,0.019422852,0.00936193405183902,1.9585118e-06,80.23569771730605,-0.6037291659471468,-26.498993,-33.549854,-40.391876,-44.636463,-47.312027,-49.20492,-51.190678,-54.390816,-56.91996,-59.195004,-62.207466,-65.142494,-67.117516,-68.13314,-68.72962,-69.176796,-69.23648,-68.992485,-68.602615,-68.40979,-67.96233,-67.604576,-67.49957,-66.942856,-66.42148,-65.99452,-66.51292,-67.64874,-68.75742,-70.347145,-72.707344,-75.650085,-77.48699,-78.3675,-79.5379,-79.99127,-79.994484,-79.99553,-79.99635,-79.99692,-79.997246,-79.99754,-79.99782,-79.998085,-79.99834,-79.99858,-79.99881,-79.99903,-79.99925,-79.99945,-79.99965,-79.99984,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-458.64862,90.37747,52.49802,31.787184,33.16095,33.643124,20.338844,5.116182,1.5919533,5.9540753,7.224599,4.1385403,2.9735024
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,spectral_gating_-20db_4.0ratio,0.037505023,0.007993393107009595,2.847986e-07,14.312012146289067,-0.4929326775675148,-20.902117,-28.912237,-36.31414,-40.732563,-42.86133,-44.93359,-48.02068,-51.120975,-53.349865,-56.130512,-59.384354,-62.241055,-64.558495,-66.28099,-67.34722,-68.34131,-69.308914,-69.95114,-70.1921,-70.70859,-70.787544,-70.788414,-70.5538,-69.51808,-68.5012,-67.87503,-67.59226,-68.285095,-69.57767,-72.11446,-74.49938,-76.35921,-77.46745,-78.068954,-79.37266,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-463.62125,102.99473,66.11568,42.424328,37.04393,31.600037,16.982086,4.188707,3.3011405,8.448518,9.000289,4.701292,2.634321
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,spectral_gating_-20db_4.0ratio,0.0036214783,0.010581075509728146,2.0495575e-06,484.98824845752347,-3.9823702575720117,-33.173275,-39.657265,-46.503616,-50.556087,-51.84389,-54.151386,-57.612217,-60.282722,-62.27591,-64.71204,-66.88927,-69.16764,-70.73196,-71.821396,-72.273384,-72.609726,-73.401955,-74.05799,-74.582,-74.71,-75.094894,-75.19498,-75.07106,-75.02735,-74.974525,-74.87627,-75.06077,-75.584114,-75.87145,-77.065926,-77.95351,-78.6063,-79.110176,-79.22574,-79.69331,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-606.8465,63.901127,49.037773,36.39449,29.208115,23.5626,16.751595,10.730196,7.687684,6.611606,5.456541,4.05062,3.4599164
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,0.03463251,0.009037367570628998,1.2398032e-06,145.2452351669243,0.19089803165399588,-35.111248,-45.065063,-52.795982,-56.488594,-59.554146,-61.89638,-64.513245,-66.188835,-67.40093,-68.64729,-69.23891,-69.330154,-69.962265,-70.88572,-71.78196,-72.8148,-73.995636,-75.60784,-77.03819,-77.87044,-78.363014,-78.58463,-78.88437,-78.98058,-79.04,-79.19192,-79.257965,-79.269516,-79.24148,-79.31805,-79.3815,-79.41066,-79.404686,-79.45787,-79.58398,-79.90863,-79.999275,-79.999794,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-492.71878,64.09228,48.612347,33.515934,22.816927,15.936055,12.56419,12.486205,13.347602,12.653408,10.537276,8.365964,6.5019293
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,spectral_gating_-20db_4.0ratio,0.01892169,0.006179777035581023,5.9150507e-06,10.183022404074121,0.714251262492432,-18.005184,-29.30092,-37.88006,-42.804962,-46.85292,-49.529816,-51.684395,-53.39116,-54.64824,-55.846798,-57.426163,-58.545055,-59.79002,-61.785164,-63.95448,-65.286316,-65.83115,-66.40733,-67.75096,-70.66713,-72.58646,-73.99037,-75.178085,-75.086624,-75.56953,-77.178085,-77.7293,-77.96345,-78.21092,-78.5515,-78.72193,-78.938034,-79.08576,-79.17541,-79.54081,-79.92704,-79.977325,-79.97949,-79.98119,-79.982544,-79.98319,-79.9838,-79.98437,-79.9849,-79.985405,-79.9859,-79.98637,-79.98681,-79.98724,-79.987656,-79.98806,-79.98844,-79.98881,-79.98916,-79.98949,-79.98981,-79.99009,-79.990364,-79.99061,-79.99082,-79.99101,-79.99117,-79.99129,-79.991356,-576.77264,103.82333,73.47299,43.623344,24.643957,16.234789,14.049405,14.409157,14.456202,12.829704,10.525074,9.098533,8.596676
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP1_60sec.wav,WEBSS-006 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.024207,0.007408288496135395,1.5332497e-06,10.165134073502276,0.3243551852119875,-20.370422,-35.262398,-40.972866,-43.44288,-46.332787,-48.08672,-49.906578,-52.36832,-53.97968,-54.455948,-54.949654,-56.616844,-57.86254,-58.84161,-60.268307,-62.152744,-64.18456,-66.02289,-67.63271,-68.944695,-70.44196,-71.51028,-72.57904,-73.57469,-74.56105,-75.23681,-75.99365,-76.65505,-77.24935,-77.771736,-78.30519,-78.71091,-78.93685,-79.17524,-79.79495,-79.96972,-79.97566,-79.9789,-79.981674,-79.98402,-79.98569,-79.98767,-79.98917,-79.99019,-79.99106,-79.99217,-79.9931,-79.99393,-79.9947,-79.995155,-79.99557,-79.99597,-79.996346,-79.996704,-79.99692,-79.99708,-79.99722,-79.99737,-79.99748,-79.997604,-79.997696,-79.99778,-79.99783,-79.99787,-515.0442,99.387474,69.13723,38.272926,18.437084,10.601269,9.682836,10.853078,11.640394,11.227497,9.775086,7.987013,6.507657
