file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,0.0068275593,0.013825699210421108,1.8389364e-06,181.79694511116955,0.6997156950352489
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,0.029507225,0.015196322378065032,6.956088e-07,12.064796148317587,0.6004296328207753
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,0.019558817,0.01996877706889659,9.398056e-07,94.91468534794508,-0.2986484455788866
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,0.013350079,0.027480395872201493,4.0248087e-06,147.45221057608018,1.5131039910073825
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,0.005990125,0.02425893690031983,2.3046018e-06,19.582323991123697,0.3616711691682294
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.02934111,0.021815188149653518,5.943753e-07,48.98797672550809,-0.11586055781385392
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,0.011859314,0.0148673311733742,1.4459487e-06,131.6141743385125,-1.1359009641943774
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,0.11398487,0.0554935805070629,0.100182675,27.35866399536566,0.0816241570524179
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,0.10425196,0.012117755946828358,2.9550515e-06,15.938120098995977,-0.011901184743158877
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,0.012293408,0.0897261044109808,0.26535222,174.18637621852483,-2.419057450689253
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,0.0073862313,0.017159598214285716,4.6149776e-07,10.8610886253268,-0.17988288354690554
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.022509012,0.014088579840751599,9.912595e-07,19.582249193735812,0.33520761949281064
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,0.015411939,0.012181003464818763,1.7007874e-06,48.526748689295225,-0.04713299134953774
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,spectral_gating_-20db_4.0ratio,0.019422852,0.00936193405183902,1.9585118e-06,80.23569771730605,-0.6037291659471468
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,spectral_gating_-20db_4.0ratio,0.037505023,0.007993393107009595,2.847986e-07,14.312012146289067,-0.4929326775675148
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,spectral_gating_-20db_4.0ratio,0.0036214783,0.010581075509728146,2.0495575e-06,484.98824845752347,-3.9823702575720117
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,0.03463251,0.009037367570628998,1.2398032e-06,145.2452351669243,0.19089803165399588
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,spectral_gating_-20db_4.0ratio,0.01892169,0.006179777035581023,5.9150507e-06,10.183022404074121,0.714251262492432
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP1_60sec.wav,WEBSS-006 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.024207,0.007408288496135395,1.5332497e-06,10.165134073502276,0.3243551852119875
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP7_60sec.wav,WEBSS-006 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,0.017864242,0.010529800772921108,3.1479656e-06,197.9503957845261,-0.38496732073731993
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP10_60sec.wav,WEBSS-006 TP10_60sec.wav,spectral_gating_-20db_4.0ratio,0.018602677,0.01014823344216418,4.892287e-07,135.8417386257064,-0.4001070541722127
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP2_60sec.wav,WEBSS-006 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,0.048635967,0.01199256230010661,1.2175157e-06,9.693619924163198,-0.053820974504207905
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP4_60sec.wav,WEBSS-006 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,0.020206265,0.006608364018937401,5.4439545e-07,26.8930054007707,-0.2932732135908943
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP9_60sec.wav,WEBSS-006 TP9_60sec.wav,spectral_gating_-20db_4.0ratio,0.014013994,0.010615952741871002,1.7703433e-06,149.06515117311667,-1.2485577325694563
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP3_60sec.wav,WEBSS-006 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,0.032038875,0.007428590168576759,2.4452872e-06,260.646195020305,-0.19061527201391693
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP12_60sec.wav,WEBSS-006 TP12_60sec.wav,spectral_gating_-20db_4.0ratio,0.033528633,0.015853003398187633,4.7538973e-07,65.50820884394466,-0.15912257601142202
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP5_60sec.wav,WEBSS-006 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,0.048178922,0.007885898354211088,1.6495038e-07,6.712004070336606,0.1859387522964556
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP8_60sec.wav,WEBSS-006 TP8_60sec.wav,spectral_gating_-20db_4.0ratio,0.04909895,0.006065515058635395,3.7219917e-07,4.353187788326307,0.04700137346715021
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP6_60sec.wav,WEBSS-005 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,0.044037074,0.016873813132995734,1.1308047e-06,4.549661623810842,-0.1628805186304374
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP1_60sec.wav,WEBSS-005 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.0384783,0.035250210304504266,1.7581764e-05,5.659511725192379,-0.2968521239078881
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP4_60sec.wav,WEBSS-005 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,0.020357708,0.017242887126865673,9.660839e-07,14.77182171319135,-0.5996070629614727
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP2_60sec.wav,WEBSS-005 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,0.042342383,0.022048657382729212,3.9207803e-06,29.33389483849009,-1.1531197521236065
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP5_60sec.wav,WEBSS-005 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,0.08415587,0.01800367928771322,8.564456e-07,5.012072618524458,-0.25423851490441657
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP3_60sec.wav,WEBSS-005 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,0.026185164,0.015545094699493603,1.1626818e-05,13.337701947147742,-0.6597315111594609
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP3_60sec.wav,WEBSS-004 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,0.037956093,0.00854596298640725,1.0036277e-06,15.61715336957058,-0.04003917387371242
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP5_60sec.wav,WEBSS-004 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,0.027069813,0.006318765408448827,2.1130381e-06,27.420114687267493,1.0761078526625387
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP2_60sec.wav,WEBSS-004 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,0.037629623,0.007187572877798507,2.568043e-06,14.780512573569482,0.2195914446977068
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP4_60sec.wav,WEBSS-004 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,0.045763504,0.008530866871002133,2.6073488e-07,133.52218150928684,0.5416986776704366
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP1_60sec.wav,WEBSS-004 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,0.09728588,0.01451309301705757,5.291407e-06,17.298698257492052,0.08684357466582857
